"Area","Average value January 2018","Average value January 2017","Change value"
"New Zealand","$671,531","$631,302","6.4%"
"Main Urban Areas","$787,740","$754,572","4.4%"
"Auckland Area","$1,054,974","$1,047,699","0.7%"
"Wellington Area","$634,811","$582,322","9.0%"
"Far North District","$421,197","$389,811","8.1%"
"Whangarei District","$509,857","$463,319","10.0%"
"Kaipara District","$506,745","$463,896","9.2%"
"Rodney District","$947,856","$933,456","1.5%"
"Rodney - Hibiscus Coast","$927,897","$908,966","2.1%"
"Rodney - North","$969,140","$961,450","0.8%"
"North Shore City","$1,228,920","$1,214,291","1.2%"
"North Shore - Coastal","$1,410,765","$1,387,368","1.7%"
"North Shore - Onewa","$977,381","$971,364","0.6%"
"North Shore - North Harbour","$1,199,720","$1,189,924","0.8%"
"Waitakere City","$822,871","$836,574","-1.6%"
"Auckland City","$1,245,682","$1,225,096","1.7%"
"Auckland City - Central","$1,078,359","$1,065,420","1.2%"
"Auckland_City - East","$1,576,640","$1,532,815","2.9%"
"Auckland City - South","$1,104,859","$1,107,912","-0.3%"
"Auckland City - Islands","$1,166,941","$1,036,288","12.6%"
"Manukau City","$904,158","$901,422","0.3%"
"Manukau - East","$1,161,381","$1,158,197","0.3%"
"Manukau - Central","$703,189","$686,567","2.4%"
"Manukau - North West","$776,208","$781,110","-0.6%"
"Papakura District","$700,283","$684,172","2.4%"
"Franklin District","$673,514","$660,557","2.0%"
"Thames-Coromandel District","$704,581","$645,780","9.1%"
"Hauraki District","$373,471","$359,520","3.9%"
"Waikato District","$470,218","$441,525","6.5%"
"Matamata-Piako District","$432,464","$398,682","8.5%"
"Hamilton City","$544,935","$531,337","2.6%"
"Hamilton - North East","$692,145","$678,886","2.0%"
"Hamilton - Central & North West","$494,164","$489,611","0.9%"
"Hamilton - South East","$494,488","$482,333","2.5%"
"Hamilton - South West","$492,551","$466,235","5.6%"
"Waipa District","$530,898","$490,723","8.2%"
"Otorohanga District","$293,089","$243,964","20.1%"
"South Waikato District","$225,800","$188,852","19.6%"
"Waitomo District","$204,268","$172,405","18.5%"
"Taupo District","$467,505","$418,130","11.8%"
"Western Bay of Plenty District","$617,120","$575,089","7.3%"
"Tauranga City","$698,875","$672,752","3.9%"
"Rotorua District","$417,258","$379,865","9.8%"
"Whakatane District","$411,370","$380,691","8.1%"
"Kawerau District","$187,011","$177,183","5.5%"
"Opotiki District","$302,220","$248,261","21.7%"
"Gisborne District","$296,435","$271,632","9.1%"
"Wairoa District","$155,567","$161,966","-4.0%"
"Hastings District","$453,616","$392,182","15.7%"
"Napier City","$483,759","$419,099","15.4%"
"Central Hawkes Bay District","$307,507","$253,787","21.2%"
"New Plymouth District","$439,011","$415,761","5.6%"
"Stratford District","$251,136","$234,372","7.2%"
"South Taranaki District","$209,745","$198,934","5.4%"
"Ruapehu District","$174,029","$156,971","10.9%"
"Whanganui District","$238,248","$207,752","14.7%"
"Rangitikei District","$195,601","$163,111","19.9%"
"Manawatu District","$326,418","$289,350","12.8%"
"Palmerston North City","$379,248","$348,581","8.8%"
"Tararua District","$183,896","$163,877","12.2%"
"Horowhenua District","$300,771","$258,047","16.6%"
"Kapiti Coast District","$544,874","$482,723","12.9%"
"Porirua City","$548,889","$484,164","13.4%"
"Upper Hutt City","$470,511","$433,538","8.5%"
"Lower Hutt City","$523,344","$482,632","8.4%"
"Wellington City","$764,560","$702,081","8.9%"
"Wellington - Central & South","$768,645","$703,433","9.3%"
"Wellington - East","$821,254","$753,259","9.0%"
"Wellington - North","$684,884","$627,791","9.1%"
"Wellington - West","$874,198","$808,685","8.1%"
"Masterton District","$327,415","$276,020","18.6%"
"Carterton District","$366,143","$321,476","13.9%"
"South Wairarapa District","$457,934","$370,839","23.5%"
"Tasman District","$560,907","$498,111","12.6%"
"Nelson City","$558,587","$508,343","9.9%"
"Marlborough District","$453,173","$423,753","6.9%"
"Kaikoura District","$422,097","$398,058","6.0%"
"Buller District","$187,595","$183,573","2.2%"
"Grey District","$214,972","$211,780","1.5%"
"Westland District","$240,885","$234,405","2.8%"
"Hurunui District","$381,419","$378,276","0.8%"
"Waimakariri District","$437,733","$434,854","0.7%"
"Christchurch City","$494,459","$497,539","-0.6%"
"Christchurch - East","$372,005","$371,157","0.2%"
"Christchurch - Hills","$667,870","$667,077","0.1%"
"Christchurch - Central & North","$584,136","$588,632","-0.8%"
"Christchurch - Southwest","$471,587","$477,247","-1.2%"
"Christchurch - Banks Peninsula","$510,268","$514,403","-0.8%"
"Selwyn District","$546,340","$547,094","-0.1%"
"Ashburton District","$350,514","$348,788","0.5%"
"Timaru District","$354,254","$335,449","5.6%"
"MacKenzie District","$534,982","$420,915","27.1%"
"Waimate District","$227,424","$229,085","-0.7%"
"Waitaki District","$297,755","$260,433","14.3%"
"Central Otago District","$471,455","$411,111","14.7%"
"Queenstown-Lakes District","$1,116,673","$1,032,560","8.1%"
"Dunedin City","$392,512","$359,055","9.3%"
"Dunedin - Central & North","$410,278","$372,295","10.2%"
"Dunedin - Peninsular & Coastal","$360,397","$320,180","12.6%"
"Dunedin - South","$373,189","$342,080","9.1%"
"Dunedin - Taieri","$402,502","$375,669","7.1%"
"Clutha District","$209,395","$190,208","10.1%"
"Southland District","$272,221","$236,549","15.1%"
"Gore District","$219,810","$200,826","9.5%"
"Invercargill City","$255,045","$239,252","6.6%"
