"Area","Average value February 2018","Average value February 2017","Change value"
"New Zealand","$672,645","$631,349","6.5%"
"Main Urban Areas","$788,173","$750,253","5.1%"
"Auckland Area","$1,053,948","$1,043,680","1.0%"
"Wellington Area","$640,737","$589,784","8.6%"
"Far North District","$427,406","$399,780","6.9%"
"Whangarei District","$510,409","$468,033","9.1%"
"Kaipara District","$507,906","$470,913","7.9%"
"Rodney District","$951,356","$936,877","1.5%"
"Rodney - Hibiscus Coast","$930,503","$918,495","1.3%"
"Rodney - North","$973,369","$957,228","1.7%"
"North Shore City","$1,231,179","$1,196,987","2.9%"
"North Shore - Coastal","$1,412,965","$1,363,263","3.6%"
"North Shore - Onewa","$972,478","$962,999","1.0%"
"North Shore - North Harbour","$1,214,172","$1,176,182","3.2%"
"Waitakere City","$825,362","$831,705","-0.8%"
"Auckland City","$1,239,086","$1,224,673","1.2%"
"Auckland City - Central","$1,076,464","$1,062,336","1.3%"
"Auckland_City - East","$1,566,834","$1,540,731","1.7%"
"Auckland City - South","$1,095,706","$1,100,193","-0.4%"
"Auckland City - Islands","$1,181,685","$1,057,341","11.8%"
"Manukau City","$902,791","$902,477","0.0%"
"Manukau - East","$1,155,919","$1,159,890","-0.3%"
"Manukau - Central","$701,488","$685,233","2.4%"
"Manukau - North West","$779,011","$785,112","-0.8%"
"Papakura District","$702,318","$686,465","2.3%"
"Franklin District","$674,114","$663,638","1.6%"
"Thames-Coromandel District","$712,236","$654,659","8.8%"
"Hauraki District","$386,538","$362,059","6.8%"
"Waikato District","$471,961","$452,169","4.4%"
"Matamata-Piako District","$435,109","$400,688","8.6%"
"Hamilton City","$548,417","$532,171","3.1%"
"Hamilton - North East","$694,699","$681,204","2.0%"
"Hamilton - Central & North West","$498,761","$494,010","1.0%"
"Hamilton - South East","$500,468","$481,707","3.9%"
"Hamilton - South West","$491,915","$464,668","5.9%"
"Waipa District","$533,012","$497,582","7.1%"
"Otorohanga District","$296,181","$266,734","11.0%"
"South Waikato District","$225,883","$192,649","17.3%"
"Waitomo District","$202,497","$176,081","15.0%"
"Taupo District","$466,925","$428,410","9.0%"
"Western Bay of Plenty District","$622,227","$581,540","7.0%"
"Tauranga City","$706,825","$673,923","4.9%"
"Rotorua District","$417,653","$386,810","8.0%"
"Whakatane District","$418,096","$390,862","7.0%"
"Kawerau District","$190,175","$174,150","9.2%"
"Opotiki District","$310,035","$253,857","22.1%"
"Gisborne District","$301,863","$272,982","10.6%"
"Wairoa District","$158,564","$163,883","-3.2%"
"Hastings District","$451,686","$397,013","13.8%"
"Napier City","$488,236","$419,190","16.5%"
"Central Hawkes Bay District","$316,954","$259,663","22.1%"
"New Plymouth District","$439,630","$420,813","4.5%"
"Stratford District","$251,459","$232,541","8.1%"
"South Taranaki District","$218,492","$197,336","10.7%"
"Ruapehu District","$179,331","$158,007","13.5%"
"Whanganui District","$237,423","$212,695","11.6%"
"Rangitikei District","$192,867","$171,286","12.6%"
"Manawatu District","$322,942","$297,286","8.6%"
"Palmerston North City","$380,255","$349,494","8.8%"
"Tararua District","$185,059","$165,264","12.0%"
"Horowhenua District","$302,981","$258,639","17.1%"
"Kapiti Coast District","$546,371","$479,823","13.9%"
"Porirua City","$546,552","$498,652","9.6%"
"Upper Hutt City","$474,961","$437,832","8.5%"
"Lower Hutt City","$526,659","$488,797","7.7%"
"Wellington City","$764,020","$709,806","7.6%"
"Wellington - Central & South","$762,980","$704,885","8.2%"
"Wellington - East","$821,985","$773,982","6.2%"
"Wellington - North","$686,534","$639,076","7.4%"
"Wellington - West","$879,039","$806,933","8.9%"
"Masterton District","$336,228","$284,601","18.1%"
"Carterton District","$373,391","$333,802","11.9%"
"South Wairarapa District","$463,217","$376,069","23.2%"
"Tasman District","$565,643","$501,153","12.9%"
"Nelson City","$567,767","$513,933","10.5%"
"Marlborough District","$454,127","$425,213","6.8%"
"Kaikoura District","$447,152","$390,602","14.5%"
"Buller District","$184,869","$177,902","3.9%"
"Grey District","$211,555","$206,481","2.5%"
"Westland District","$237,232","$233,275","1.7%"
"Hurunui District","$385,645","$374,130","3.1%"
"Waimakariri District","$438,567","$437,569","0.2%"
"Christchurch City","$494,563","$498,710","-0.8%"
"Christchurch - East","$371,826","$371,793","0.0%"
"Christchurch - Hills","$669,770","$672,029","-0.3%"
"Christchurch - Central & North","$583,678","$589,186","-0.9%"
"Christchurch - Southwest","$472,482","$479,064","-1.4%"
"Christchurch - Banks Peninsula","$511,931","$508,096","0.8%"
"Selwyn District","$549,985","$545,372","0.8%"
"Ashburton District","$350,500","$344,881","1.6%"
"Timaru District","$355,923","$338,653","5.1%"
"MacKenzie District","$535,228","$433,271","23.5%"
"Waimate District","$233,367","$224,971","3.7%"
"Waitaki District","$301,777","$263,134","14.7%"
"Central Otago District","$476,421","$423,431","12.5%"
"Queenstown-Lakes District","$1,114,358","$1,039,434","7.2%"
"Dunedin City","$392,921","$359,629","9.3%"
"Dunedin - Central & North","$407,170","$372,954","9.2%"
"Dunedin - Peninsular & Coastal","$360,626","$326,875","10.3%"
"Dunedin - South","$373,280","$340,838","9.5%"
"Dunedin - Taieri","$408,439","$376,406","8.5%"
"Clutha District","$213,658","$192,737","10.9%"
"Southland District","$283,403","$240,861","17.7%"
"Gore District","$221,832","$203,873","8.8%"
"Invercargill City","$259,919","$235,895","10.2%"
