"Area","Average value March 2018","Average value March 2017","Change value"
"New Zealand","$677,618","$631,432","7.3%"
"Main Urban Areas","$793,788","$748,957","6.0%"
"Auckland Area","$1,055,992","$1,045,362","1.0%"
"Wellington Area","$644,567","$595,501","8.2%"
"Far North District","$431,570","$397,600","8.5%"
"Whangarei District","$517,302","$472,081","9.6%"
"Kaipara District","$521,642","$471,203","10.7%"
"Rodney District","$949,896","$940,701","1.0%"
"Rodney - Hibiscus Coast","$920,361","$920,149","0.0%"
"Rodney - North","$979,858","$964,038","1.6%"
"North Shore City","$1,235,905","$1,201,367","2.9%"
"North Shore - Coastal","$1,422,283","$1,375,264","3.4%"
"North Shore - Onewa","$971,511","$952,902","2.0%"
"North Shore - North Harbour","$1,218,876","$1,184,914","2.9%"
"Waitakere City","$824,848","$828,959","-0.5%"
"Auckland City","$1,244,218","$1,229,715","1.2%"
"Auckland City - Central","$1,095,224","$1,062,943","3.0%"
"Auckland_City - East","$1,566,924","$1,542,858","1.6%"
"Auckland City - South","$1,097,888","$1,108,497","-1.0%"
"Auckland City - Islands","$1,157,589","$1,066,785","8.5%"
"Manukau City","$903,135","$900,324","0.3%"
"Manukau - East","$1,159,422","$1,165,890","-0.6%"
"Manukau - Central","$699,099","$681,232","2.6%"
"Manukau - North West","$778,721","$775,666","0.4%"
"Papakura District","$703,258","$689,859","1.9%"
"Franklin District","$675,378","$667,209","1.2%"
"Thames-Coromandel District","$721,023","$670,508","7.5%"
"Hauraki District","$387,595","$364,116","6.4%"
"Waikato District","$472,520","$451,956","4.6%"
"Matamata-Piako District","$441,091","$412,431","6.9%"
"Hamilton City","$555,549","$532,888","4.3%"
"Hamilton - North East","$699,275","$677,418","3.2%"
"Hamilton - Central & North West","$515,877","$496,659","3.9%"
"Hamilton - South East","$501,973","$484,524","3.6%"
"Hamilton - South West","$498,890","$467,316","6.8%"
"Waipa District","$535,749","$496,884","7.8%"
"Otorohanga District","$300,529","$258,186","16.4%"
"South Waikato District","$228,687","$196,418","16.4%"
"Waitomo District","$196,151","$171,185","14.6%"
"Taupo District","$471,296","$435,052","8.3%"
"Western Bay of Plenty District","$637,801","$590,608","8.0%"
"Tauranga City","$706,922","$676,381","4.5%"
"Rotorua District","$419,556","$391,910","7.1%"
"Whakatane District","$426,099","$398,552","6.9%"
"Kawerau District","$196,397","$171,118","14.8%"
"Opotiki District","$334,445","$269,729","24.0%"
"Gisborne District","$306,098","$276,793","10.6%"
"Wairoa District","$162,447","$170,426","-4.7%"
"Hastings District","$457,145","$398,612","14.7%"
"Napier City","$497,562","$422,945","17.6%"
"Central Hawkes Bay District","$327,971","$260,446","25.9%"
"New Plymouth District","$441,101","$418,057","5.5%"
"Stratford District","$256,737","$234,368","9.5%"
"South Taranaki District","$221,370","$200,509","10.4%"
"Ruapehu District","$183,680","$162,274","13.2%"
"Whanganui District","$242,522","$217,672","11.4%"
"Rangitikei District","$201,401","$179,364","12.3%"
"Manawatu District","$330,093","$299,293","10.3%"
"Palmerston North City","$383,671","$351,959","9.0%"
"Tararua District","$187,180","$170,684","9.7%"
"Horowhenua District","$307,549","$264,918","16.1%"
"Kapiti Coast District","$549,532","$482,789","13.8%"
"Porirua City","$549,185","$511,483","7.4%"
"Upper Hutt City","$482,846","$442,379","9.1%"
"Lower Hutt City","$532,278","$496,314","7.2%"
"Wellington City","$768,108","$716,613","7.2%"
"Wellington - Central & South","$766,866","$714,679","7.3%"
"Wellington - East","$820,305","$781,177","5.0%"
"Wellington - North","$691,503","$644,209","7.3%"
"Wellington - West","$887,276","$808,973","9.7%"
"Masterton District","$336,613","$288,996","16.5%"
"Carterton District","$380,885","$334,835","13.8%"
"South Wairarapa District","$482,212","$387,687","24.4%"
"Tasman District","$562,614","$512,754","9.7%"
"Nelson City","$566,052","$522,201","8.4%"
"Marlborough District","$454,276","$427,552","6.3%"
"Kaikoura District","$442,296","$406,297","8.9%"
"Buller District","$182,860","$185,358","-1.3%"
"Grey District","$213,338","$206,297","3.4%"
"Westland District","$245,140","$240,056","2.1%"
"Hurunui District","$377,088","$372,956","1.1%"
"Waimakariri District","$439,667","$438,750","0.2%"
"Christchurch City","$494,117","$497,120","-0.6%"
"Christchurch - East","$371,211","$372,468","-0.3%"
"Christchurch - Hills","$668,595","$669,820","-0.2%"
"Christchurch - Central & North","$581,421","$586,247","-0.8%"
"Christchurch - Southwest","$473,994","$477,267","-0.7%"
"Christchurch - Banks Peninsula","$507,165","$504,734","0.5%"
"Selwyn District","$549,809","$546,633","0.6%"
"Ashburton District","$351,400","$346,678","1.4%"
"Timaru District","$356,448","$338,997","5.1%"
"MacKenzie District","$523,181","$449,520","16.4%"
"Waimate District","$234,446","$218,755","7.2%"
"Waitaki District","$303,914","$261,295","16.3%"
"Central Otago District","$478,415","$437,791","9.3%"
"Queenstown-Lakes District","$1,120,905","$1,042,258","7.5%"
"Dunedin City","$398,120","$363,821","9.4%"
"Dunedin - Central & North","$412,991","$376,502","9.7%"
"Dunedin - Peninsular & Coastal","$366,813","$338,306","8.4%"
"Dunedin - South","$375,458","$343,886","9.2%"
"Dunedin - Taieri","$415,844","$379,103","9.7%"
"Clutha District","$213,517","$189,673","12.6%"
"Southland District","$280,595","$248,195","13.1%"
"Gore District","$225,255","$208,501","8.0%"
"Invercargill City","$261,762","$237,168","10.4%"
