"Area","Average value June 2017","Average value June 2016","Change value"
"New Zealand","$639,051","$590,909","8.1%"
"Main Urban Areas","$751,563","$706,477","6.4%"
"Auckland Area","$1,045,059","$975,087","7.2%"
"Wellington Area","$609,552","$516,430","18.0%"
"Far North District","$408,416","$351,792","16.1%"
"Whangarei District","$492,588","$411,931","19.6%"
"Kaipara District","$520,852","$418,962","24.3%"
"Rodney District","$955,814","$854,183","11.9%"
"Rodney - Hibiscus Coast","$928,686","$842,575","10.2%"
"Rodney - North","$984,933","$867,065","13.6%"
"North Shore City","$1,203,775","$1,135,868","6.0%"
"North Shore - Coastal","$1,376,695","$1,296,298","6.2%"
"North Shore - Onewa","$956,862","$913,236","4.8%"
"North Shore - North Harbour","$1,190,626","$1,107,688","7.5%"
"Waitakere City","$823,630","$771,270","6.8%"
"Auckland City","$1,228,005","$1,146,639","7.1%"
"Auckland City - Central","$1,073,116","$995,878","7.8%"
"Auckland_City - East","$1,534,921","$1,432,904","7.1%"
"Auckland City - South","$1,103,498","$1,039,992","6.1%"
"Auckland City - Islands","$1,099,383","$970,126","13.3%"
"Manukau City","$900,766","$842,142","7.0%"
"Manukau - East","$1,169,679","$1,083,365","8.0%"
"Manukau - Central","$684,184","$649,964","5.3%"
"Manukau - North West","$771,795","$724,180","6.6%"
"Papakura District","$677,340","$626,439","8.1%"
"Franklin District","$666,845","$611,898","9.0%"
"Thames-Coromandel District","$710,548","$579,314","22.7%"
"Hauraki District","$392,066","$307,340","27.6%"
"Waikato District","$453,496","$385,618","17.6%"
"Matamata-Piako District","$419,289","$341,805","22.7%"
"Hamilton City","$539,357","$492,403","9.5%"
"Hamilton - North East","$679,803","$628,043","8.2%"
"Hamilton - Central & North West","$498,276","$451,921","10.3%"
"Hamilton - South East","$491,788","$449,378","9.4%"
"Hamilton - South West","$482,593","$435,483","10.8%"
"Waipa District","$514,927","$435,827","18.1%"
"Otorohanga District","$288,008","$234,027","23.1%"
"South Waikato District","$206,669","$154,866","33.5%"
"Waitomo District","$191,530","$168,500","13.7%"
"Taupo District","$446,364","$387,697","15.1%"
"Western Bay of Plenty District","$612,363","$526,756","16.3%"
"Tauranga City","$687,364","$599,915","14.6%"
"Rotorua District","$393,753","$327,596","20.2%"
"Whakatane District","$399,082","$349,171","14.3%"
"Kawerau District","$181,797","$131,004","38.8%"
"Opotiki District","$294,638","$241,948","21.8%"
"Gisborne District","$285,855","$237,185","20.5%"
"Wairoa District","$157,176","$148,059","6.2%"
"Hastings District","$420,155","$345,577","21.6%"
"Napier City","$442,986","$372,963","18.8%"
"Central Hawkes Bay District","$281,208","$231,582","21.4%"
"New Plymouth District","$423,157","$389,369","8.7%"
"Stratford District","$236,211","$218,478","8.1%"
"South Taranaki District","$198,533","$189,418","4.8%"
"Ruapehu District","$163,463","$143,267","14.1%"
"Whanganui District","$226,526","$197,299","14.8%"
"Rangitikei District","$186,313","$152,895","21.9%"
"Manawatu District","$308,599","$265,827","16.1%"
"Palmerston North City","$357,752","$315,930","13.2%"
"Tararua District","$175,781","$156,623","12.2%"
"Horowhenua District","$278,503","$226,759","22.8%"
"Kapiti Coast District","$508,221","$421,743","20.5%"
"Porirua City","$509,575","$423,388","20.4%"
"Upper Hutt City","$448,380","$366,480","22.3%"
"Lower Hutt City","$509,860","$413,488","23.3%"
"Wellington City","$726,902","$625,319","16.2%"
"Wellington - Central & South","$730,532","$627,244","16.5%"
"Wellington - East","$785,474","$689,324","13.9%"
"Wellington - North","$643,916","$548,069","17.5%"
"Wellington - West","$843,645","$728,296","15.8%"
"Masterton District","$303,415","$246,070","23.3%"
"Carterton District","$348,811","$281,372","24.0%"
"South Wairarapa District","$412,286","$328,463","25.5%"
"Tasman District","$535,118","$456,144","17.3%"
"Nelson City","$532,120","$460,495","15.6%"
"Marlborough District","$437,984","$385,818","13.5%"
"Kaikoura District","$383,455","$392,516","-2.3%"
"Buller District","$186,087","$209,962","-11.4%"
"Grey District","$211,263","$212,097","-0.4%"
"Westland District","$252,708","$218,688","15.6%"
"Hurunui District","$376,523","$359,413","4.8%"
"Waimakariri District","$439,901","$427,756","2.8%"
"Christchurch City","$496,378","$491,148","1.1%"
"Christchurch - East","$372,246","$372,878","-0.2%"
"Christchurch - Hills","$664,643","$663,657","0.1%"
"Christchurch - Central & North","$586,427","$577,779","1.5%"
"Christchurch - Southwest","$475,906","$464,539","2.4%"
"Christchurch - Banks Peninsula","$507,672","$514,123","-1.3%"
"Selwyn District","$546,070","$532,151","2.6%"
"Ashburton District","$347,807","$350,775","-0.8%"
"Timaru District","$345,729","$322,763","7.1%"
"MacKenzie District","$460,593","$356,688","29.1%"
"Waimate District","$219,363","$218,210","0.5%"
"Waitaki District","$278,798","$238,272","17.0%"
"Central Otago District","$453,074","$384,718","17.8%"
"Queenstown-Lakes District","$1,071,995","$899,335","19.2%"
"Dunedin City","$375,371","$327,664","14.6%"
"Dunedin - Central & North","$388,783","$342,492","13.5%"
"Dunedin - Peninsular & Coastal","$346,370","$290,662","19.2%"
"Dunedin - South","$355,718","$312,140","14.0%"
"Dunedin - Taieri","$390,365","$340,573","14.6%"
"Clutha District","$195,890","$174,414","12.3%"
"Southland District","$253,764","$216,756","17.1%"
"Gore District","$210,651","$195,477","7.8%"
"Invercargill City","$241,770","$221,391","9.2%"
