"Area","Average value July 2017","Average value July 2016","Change value"
"New Zealand","$641,280","$602,434","6.4%"
"Main Urban Areas","$753,271","$722,243","4.3%"
"Auckland Area","$1,044,303","$992,207","5.3%"
"Wellington Area","$607,011","$524,063","15.8%"
"Far North District","$405,772","$355,485","14.1%"
"Whangarei District","$494,212","$421,750","17.2%"
"Kaipara District","$521,633","$422,295","23.5%"
"Rodney District","$949,658","$859,303","10.5%"
"Rodney - Hibiscus Coast","$927,802","$844,826","9.8%"
"Rodney - North","$972,194","$874,992","11.1%"
"North Shore City","$1,202,461","$1,160,094","3.7%"
"North Shore - Coastal","$1,380,887","$1,322,798","4.4%"
"North Shore - Onewa","$952,432","$937,297","1.6%"
"North Shore - North Harbour","$1,180,491","$1,126,152","4.8%"
"Waitakere City","$819,426","$782,039","4.8%"
"Auckland City","$1,234,767","$1,163,464","6.1%"
"Auckland City - Central","$1,082,911","$1,003,978","7.9%"
"Auckland_City - East","$1,546,047","$1,453,988","6.3%"
"Auckland City - South","$1,105,872","$1,060,567","4.3%"
"Auckland City - Islands","$1,105,452","$982,998","12.5%"
"Manukau City","$898,361","$859,005","4.6%"
"Manukau - East","$1,166,714","$1,100,754","6.0%"
"Manukau - Central","$687,130","$662,182","3.8%"
"Manukau - North West","$767,205","$741,947","3.4%"
"Papakura District","$675,358","$638,678","5.7%"
"Franklin District","$658,595","$613,696","7.3%"
"Thames-Coromandel District","$711,444","$586,608","21.3%"
"Hauraki District","$396,177","$307,560","28.8%"
"Waikato District","$449,975","$389,220","15.6%"
"Matamata-Piako District","$423,036","$354,534","19.3%"
"Hamilton City","$540,840","$513,094","5.4%"
"Hamilton - North East","$682,118","$659,231","3.5%"
"Hamilton - Central & North West","$504,020","$472,328","6.7%"
"Hamilton - South East","$489,902","$463,194","5.8%"
"Hamilton - South West","$481,377","$449,546","7.1%"
"Waipa District","$517,738","$445,080","16.3%"
"Otorohanga District","$278,015","$250,202","11.1%"
"South Waikato District","$207,925","$159,854","30.1%"
"Waitomo District","$191,663","$164,555","16.5%"
"Taupo District","$445,296","$393,296","13.2%"
"Western Bay of Plenty District","$617,754","$540,128","14.4%"
"Tauranga City","$691,350","$615,625","12.3%"
"Rotorua District","$399,024","$338,679","17.8%"
"Whakatane District","$403,798","$356,353","13.3%"
"Kawerau District","$181,302","$143,765","26.1%"
"Opotiki District","$285,825","$238,218","20.0%"
"Gisborne District","$292,598","$246,757","18.6%"
"Wairoa District","$159,755","$146,174","9.3%"
"Hastings District","$423,750","$353,255","20.0%"
"Napier City","$449,717","$379,698","18.4%"
"Central Hawkes Bay District","$286,339","$233,417","22.7%"
"New Plymouth District","$424,296","$389,690","8.9%"
"Stratford District","$235,850","$217,705","8.3%"
"South Taranaki District","$199,525","$188,513","5.8%"
"Ruapehu District","$162,648","$141,512","14.9%"
"Whanganui District","$229,167","$200,022","14.6%"
"Rangitikei District","$189,650","$156,715","21.0%"
"Manawatu District","$306,344","$267,894","14.4%"
"Palmerston North City","$359,283","$320,134","12.2%"
"Tararua District","$173,629","$155,591","11.6%"
"Horowhenua District","$282,202","$234,491","20.3%"
"Kapiti Coast District","$513,925","$427,620","20.2%"
"Porirua City","$513,803","$429,950","19.5%"
"Upper Hutt City","$448,947","$373,082","20.3%"
"Lower Hutt City","$512,460","$420,972","21.7%"
"Wellington City","$724,202","$633,611","14.3%"
"Wellington - Central & South","$723,333","$632,974","14.3%"
"Wellington - East","$789,080","$704,208","12.1%"
"Wellington - North","$643,389","$558,101","15.3%"
"Wellington - West","$834,607","$732,912","13.9%"
"Masterton District","$309,917","$249,667","24.1%"
"Carterton District","$347,936","$286,582","21.4%"
"South Wairarapa District","$421,022","$329,795","27.7%"
"Tasman District","$533,816","$457,542","16.7%"
"Nelson City","$531,659","$464,885","14.4%"
"Marlborough District","$438,292","$392,566","11.6%"
"Kaikoura District","$397,117","$380,586","4.3%"
"Buller District","$181,996","$204,468","-11.0%"
"Grey District","$206,940","$215,864","-4.1%"
"Westland District","$248,800","$226,176","10.0%"
"Hurunui District","$372,578","$367,915","1.3%"
"Waimakariri District","$435,139","$429,832","1.2%"
"Christchurch City","$495,098","$492,165","0.6%"
"Christchurch - East","$370,936","$373,972","-0.8%"
"Christchurch - Hills","$664,135","$674,056","-1.5%"
"Christchurch - Central & North","$584,373","$577,863","1.1%"
"Christchurch - Southwest","$474,890","$465,303","2.1%"
"Christchurch - Banks Peninsula","$509,675","$506,657","0.6%"
"Selwyn District","$545,770","$531,517","2.7%"
"Ashburton District","$346,274","$351,057","-1.4%"
"Timaru District","$350,706","$323,296","8.5%"
"MacKenzie District","$469,979","$355,551","32.2%"
"Waimate District","$219,432","$214,782","2.2%"
"Waitaki District","$283,822","$241,912","17.3%"
"Central Otago District","$455,725","$390,534","16.7%"
"Queenstown-Lakes District","$1,092,748","$910,974","20.0%"
"Dunedin City","$373,857","$331,967","12.6%"
"Dunedin - Central & North","$387,007","$348,835","10.9%"
"Dunedin - Peninsular & Coastal","$336,932","$294,844","14.3%"
"Dunedin - South","$352,656","$316,332","11.5%"
"Dunedin - Taieri","$393,669","$342,699","14.9%"
"Clutha District","$196,047","$174,420","12.4%"
"Southland District","$249,987","$219,557","13.9%"
"Gore District","$214,150","$196,117","9.2%"
"Invercargill City","$242,829","$223,487","8.7%"
