"Area","Average value August 2017","Average value August 2016","Change value"
"New Zealand","$641,648","$612,527","4.8%"
"Main Urban Areas","$752,123","$734,515","2.4%"
"Auckland Area","$1,041,957","$1,013,632","2.8%"
"Wellington Area","$605,435","$536,065","12.9%"
"Far North District","$413,417","$365,085","13.2%"
"Whangarei District","$497,489","$429,885","15.7%"
"Kaipara District","$513,954","$427,199","20.3%"
"Rodney District","$945,934","$869,587","8.8%"
"Rodney - Hibiscus Coast","$931,381","$858,729","8.5%"
"Rodney - North","$962,249","$881,846","9.1%"
"North Shore City","$1,200,914","$1,183,443","1.5%"
"North Shore - Coastal","$1,374,159","$1,345,327","2.1%"
"North Shore - Onewa","$956,868","$959,051","-0.2%"
"North Shore - North Harbour","$1,179,806","$1,153,406","2.3%"
"Waitakere City","$816,503","$806,832","1.2%"
"Auckland City","$1,232,779","$1,180,245","4.5%"
"Auckland City - Central","$1,084,025","$1,012,112","7.1%"
"Auckland_City - East","$1,542,465","$1,466,887","5.2%"
"Auckland City - South","$1,101,122","$1,085,631","1.4%"
"Auckland City - Islands","$1,116,415","$1,021,668","9.3%"
"Manukau City","$899,432","$881,628","2.0%"
"Manukau - East","$1,167,107","$1,132,626","3.0%"
"Manukau - Central","$682,709","$679,346","0.5%"
"Manukau - North West","$773,033","$758,117","2.0%"
"Papakura District","$666,387","$657,767","1.3%"
"Franklin District","$656,665","$621,098","5.7%"
"Thames-Coromandel District","$715,833","$605,304","18.3%"
"Hauraki District","$395,868","$312,792","26.6%"
"Waikato District","$450,349","$394,595","14.1%"
"Matamata-Piako District","$436,381","$358,462","21.7%"
"Hamilton City","$544,469","$518,387","5.0%"
"Hamilton - North East","$687,203","$666,580","3.1%"
"Hamilton - Central & North West","$504,094","$482,559","4.5%"
"Hamilton - South East","$494,934","$465,907","6.2%"
"Hamilton - South West","$484,833","$454,413","6.7%"
"Waipa District","$519,296","$452,702","14.7%"
"Otorohanga District","$280,795","$263,633","6.5%"
"South Waikato District","$212,754","$163,856","29.8%"
"Waitomo District","$197,048","$156,971","25.5%"
"Taupo District","$441,138","$404,497","9.1%"
"Western Bay of Plenty District","$613,073","$557,640","9.9%"
"Tauranga City","$694,361","$633,638","9.6%"
"Rotorua District","$407,318","$347,966","17.1%"
"Whakatane District","$403,542","$354,685","13.8%"
"Kawerau District","$188,667","$152,647","23.6%"
"Opotiki District","$289,547","$251,575","15.1%"
"Gisborne District","$293,141","$250,509","17.0%"
"Wairoa District","$155,896","$154,445","0.9%"
"Hastings District","$425,780","$359,679","18.4%"
"Napier City","$459,393","$386,615","18.8%"
"Central Hawkes Bay District","$287,158","$230,633","24.5%"
"New Plymouth District","$426,255","$393,548","8.3%"
"Stratford District","$244,076","$221,837","10.0%"
"South Taranaki District","$205,833","$192,166","7.1%"
"Ruapehu District","$169,179","$144,459","17.1%"
"Whanganui District","$229,961","$200,548","14.7%"
"Rangitikei District","$184,866","$159,063","16.2%"
"Manawatu District","$307,913","$270,431","13.9%"
"Palmerston North City","$362,557","$325,041","11.5%"
"Tararua District","$175,537","$155,186","13.1%"
"Horowhenua District","$285,597","$237,277","20.4%"
"Kapiti Coast District","$518,382","$439,682","17.9%"
"Porirua City","$521,775","$442,200","18.0%"
"Upper Hutt City","$452,206","$388,892","16.3%"
"Lower Hutt City","$515,961","$434,838","18.7%"
"Wellington City","$724,965","$643,986","12.6%"
"Wellington - Central & South","$724,511","$647,959","11.8%"
"Wellington - East","$795,148","$706,984","12.5%"
"Wellington - North","$640,773","$565,500","13.3%"
"Wellington - West","$837,601","$744,779","12.5%"
"Masterton District","$311,329","$253,147","23.0%"
"Carterton District","$349,684","$298,918","17.0%"
"South Wairarapa District","$432,110","$337,230","28.1%"
"Tasman District","$538,256","$463,596","16.1%"
"Nelson City","$538,136","$473,624","13.6%"
"Marlborough District","$440,276","$400,103","10.0%"
"Kaikoura District","$394,422","$374,400","5.3%"
"Buller District","$186,167","$202,180","-7.9%"
"Grey District","$208,151","$213,901","-2.7%"
"Westland District","$243,501","$235,405","3.4%"
"Hurunui District","$371,914","$367,007","1.3%"
"Waimakariri District","$434,284","$427,512","1.6%"
"Christchurch City","$493,069","$492,766","0.1%"
"Christchurch - East","$370,617","$373,659","-0.8%"
"Christchurch - Hills","$662,309","$677,534","-2.2%"
"Christchurch - Central & North","$579,987","$576,168","0.7%"
"Christchurch - Southwest","$473,320","$468,454","1.0%"
"Christchurch - Banks Peninsula","$508,354","$511,800","-0.7%"
"Selwyn District","$544,099","$533,546","2.0%"
"Ashburton District","$347,530","$352,955","-1.5%"
"Timaru District","$353,407","$326,962","8.1%"
"MacKenzie District","$461,208","$360,165","28.1%"
"Waimate District","$222,778","$212,881","4.6%"
"Waitaki District","$283,490","$247,240","14.7%"
"Central Otago District","$458,418","$395,861","15.8%"
"Queenstown-Lakes District","$1,098,037","$930,154","18.0%"
"Dunedin City","$375,814","$333,890","12.6%"
"Dunedin - Central & North","$392,058","$350,082","12.0%"
"Dunedin - Peninsular & Coastal","$324,480","$298,486","8.7%"
"Dunedin - South","$353,979","$318,259","11.2%"
"Dunedin - Taieri","$396,694","$343,934","15.3%"
"Clutha District","$201,401","$177,575","13.4%"
"Southland District","$250,692","$220,118","13.9%"
"Gore District","$213,745","$200,025","6.9%"
"Invercargill City","$240,725","$228,652","5.3%"
