"Area","Average value October 2017","Average value October 2016","Change value"
"New Zealand","$646,807","$622,309","3.9%"
"Main Urban Areas","$759,526","$747,507","1.6%"
"Auckland Area","$1,038,722","$1,045,207","-0.6%"
"Wellington Area","$610,579","$558,886","9.2%"
"Far North District","$421,696","$359,876","17.2%"
"Whangarei District","$495,464","$451,874","9.6%"
"Kaipara District","$505,010","$436,144","15.8%"
"Rodney District","$933,909","$918,899","1.6%"
"Rodney - Hibiscus Coast","$913,845","$896,988","1.9%"
"Rodney - North","$954,769","$940,204","1.5%"
"North Shore City","$1,201,452","$1,220,550","-1.6%"
"North Shore - Coastal","$1,362,746","$1,391,044","-2.0%"
"North Shore - Onewa","$981,196","$990,038","-0.9%"
"North Shore - North Harbour","$1,168,764","$1,179,794","-0.9%"
"Waitakere City","$818,706","$837,300","-2.2%"
"Auckland City","$1,223,913","$1,209,199","1.2%"
"Auckland City - Central","$1,079,721","$1,040,640","3.8%"
"Auckland_City - East","$1,534,549","$1,497,097","2.5%"
"Auckland City - South","$1,090,843","$1,112,901","-2.0%"
"Auckland City - Islands","$1,114,609","$1,032,945","7.9%"
"Manukau City","$893,580","$906,128","-1.4%"
"Manukau - East","$1,151,198","$1,173,581","-1.9%"
"Manukau - Central","$690,284","$698,842","-1.2%"
"Manukau - North West","$764,261","$768,563","-0.6%"
"Papakura District","$684,268","$683,031","0.2%"
"Franklin District","$665,843","$641,668","3.8%"
"Thames-Coromandel District","$733,369","$623,536","17.6%"
"Hauraki District","$385,249","$324,565","18.7%"
"Waikato District","$457,448","$420,770","8.7%"
"Matamata-Piako District","$428,139","$367,901","16.4%"
"Hamilton City","$543,046","$537,388","1.1%"
"Hamilton - North East","$688,533","$687,161","0.2%"
"Hamilton - Central & North West","$498,729","$500,392","-0.3%"
"Hamilton - South East","$493,095","$489,753","0.7%"
"Hamilton - South West","$483,984","$467,546","3.5%"
"Waipa District","$534,468","$465,856","14.7%"
"Otorohanga District","$304,346","$242,854","25.3%"
"South Waikato District","$212,671","$174,620","21.8%"
"Waitomo District","$196,499","$164,567","19.4%"
"Taupo District","$447,342","$413,176","8.3%"
"Western Bay of Plenty District","$627,634","$596,782","5.2%"
"Tauranga City","$687,241","$651,725","5.4%"
"Rotorua District","$404,304","$362,583","11.5%"
"Whakatane District","$410,176","$373,817","9.7%"
"Kawerau District","$189,499","$151,957","24.7%"
"Opotiki District","$271,226","$259,963","4.3%"
"Gisborne District","$293,667","$256,490","14.5%"
"Wairoa District","$164,654","$165,063","-0.2%"
"Hastings District","$436,467","$366,083","19.2%"
"Napier City","$467,330","$396,000","18.0%"
"Central Hawkes Bay District","$284,632","$232,718","22.3%"
"New Plymouth District","$429,953","$402,526","6.8%"
"Stratford District","$257,745","$230,372","11.9%"
"South Taranaki District","$210,575","$201,793","4.4%"
"Ruapehu District","$172,616","$151,169","14.2%"
"Whanganui District","$228,292","$204,553","11.6%"
"Rangitikei District","$186,712","$159,097","17.4%"
"Manawatu District","$320,089","$277,404","15.4%"
"Palmerston North City","$370,174","$335,136","10.5%"
"Tararua District","$181,557","$162,470","11.7%"
"Horowhenua District","$290,144","$240,800","20.5%"
"Kapiti Coast District","$527,730","$458,013","15.2%"
"Porirua City","$527,553","$470,059","12.2%"
"Upper Hutt City","$465,199","$405,550","14.7%"
"Lower Hutt City","$520,264","$460,572","13.0%"
"Wellington City","$738,742","$671,387","10.0%"
"Wellington - Central & South","$728,840","$673,584","8.2%"
"Wellington - East","$808,640","$722,209","12.0%"
"Wellington - North","$657,822","$594,589","10.6%"
"Wellington - West","$863,993","$785,452","10.0%"
"Masterton District","$320,823","$263,384","21.8%"
"Carterton District","$351,004","$306,842","14.4%"
"South Wairarapa District","$447,544","$344,807","29.8%"
"Tasman District","$546,808","$485,666","12.6%"
"Nelson City","$551,342","$484,019","13.9%"
"Marlborough District","$437,689","$410,484","6.6%"
"Kaikoura District","$386,625","$387,698","-0.3%"
"Buller District","$185,849","$188,680","-1.5%"
"Grey District","$200,361","$204,470","-2.0%"
"Westland District","$247,001","$231,861","6.5%"
"Hurunui District","$379,697","$364,973","4.0%"
"Waimakariri District","$437,914","$430,173","1.8%"
"Christchurch City","$490,429","$498,425","-1.6%"
"Christchurch - East","$369,652","$376,670","-1.9%"
"Christchurch - Hills","$648,850","$680,656","-4.7%"
"Christchurch - Central & North","$578,963","$587,282","-1.4%"
"Christchurch - Southwest","$469,907","$470,846","-0.2%"
"Christchurch - Banks Peninsula","$515,635","$507,707","1.6%"
"Selwyn District","$543,681","$541,536","0.4%"
"Ashburton District","$345,879","$350,641","-1.4%"
"Timaru District","$353,069","$333,399","5.9%"
"MacKenzie District","$485,228","$383,839","26.4%"
"Waimate District","$223,575","$219,464","1.9%"
"Waitaki District","$284,244","$252,402","12.6%"
"Central Otago District","$469,842","$408,830","14.9%"
"Queenstown-Lakes District","$1,092,736","$974,564","12.1%"
"Dunedin City","$382,402","$341,566","12.0%"
"Dunedin - Central & North","$397,643","$354,449","12.2%"
"Dunedin - Peninsular & Coastal","$348,171","$305,445","14.0%"
"Dunedin - South","$365,713","$326,917","11.9%"
"Dunedin - Taieri","$395,359","$354,447","11.5%"
"Clutha District","$201,172","$183,785","9.5%"
"Southland District","$259,216","$220,621","17.5%"
"Gore District","$217,088","$199,523","8.8%"
"Invercargill City","$247,823","$229,342","8.1%"
